algorithm,n,comparisons,depth,allocations,timeMillis
MergeSort,100,621,3,300,0
QuickSort,100,590,4,0,1
DeterministicSelect,100,95,0,0,2
ClosestPair,100,147,0,0,4
MergeSort,500,4690,5,2500,0
QuickSort,500,4421,6,0,1
DeterministicSelect,500,511,0,0,0
ClosestPair,500,864,0,0,1
MergeSort,1000,10392,6,6000,1
QuickSort,1000,11104,6,0,0
DeterministicSelect,1000,1022,0,0,0
ClosestPair,1000,1737,0,0,1
MergeSort,5000,58524,9,45000,1
QuickSort,5000,71718,7,0,0
DeterministicSelect,5000,4872,0,0,1
ClosestPair,5000,6685,0,0,4
MergeSort,10000,126961,10,100000,1
QuickSort,10000,151468,8,0,0
DeterministicSelect,10000,9445,0,0,1
ClosestPair,10000,13506,0,0,5
